Data Communication And Networking,
Applied Clinical Optometry,
Advanced Contact Lens Practice -I,
Geriatric Optometry & Low Vision Rehabilitation -I,
Ocular Diseases & Therapeutics,
Paediatric Optometry And Binocular Vision I,
Finance Management & Budgeting In Health Sector,
"Application Of QuantitatIVe Methods In Public Health
-1",
Health Care Services,
Ethics & Legislations In Public Health,
Research Methodology-II,
Marketing And Sales Of Tourism,
Accountig And Financial Management,
Hospitality Management In Tourism,
Research Methodolgy In Tourism,
"Tourism Policy ,Planing Ande Development",
Agricultural & Soil Microbiology,
Industrial Microbiology & Fermentation Technology,
,
Biochemical Techniques,
Molecular Metabolism-II,
General Physiology & Organ Function Test,
"Instrumentation Of Conventional Radiological
Equipments-II",
Transport Planning,
Data Analytics And Digital Skills For Built Environment,
Urban Infrastructure Planning,
Production Design,
Videography & Lighting - II,
Audiography & Sound Design,
Video Editing - I,
Film As Cultural Practice - II,
Dietary Management -I,
Advanced Nutrition,
Women Health And Nutrition,
Nutritional Policy & Programme For Public Health,
Developmental Psychology,
Fundamentals Of Clinical Psychology,
"Statistics In Psychology, Scale Construction",
Revenue / Yield Management,
Niche Tourism Products And  Mice,
Leisure Management,
"Managing Entrepreneurship:  Small And Medium
Business Properties",
Properties Development & Planning,
Finance & Economics,
Logistics & Resource Management,
Fashion Marketing & Merchandising -2,
Fashion Communication,
Bayesian Networks,
Pattern Recognition And Machine Learning,
Network Security Firewalls And Virtual PrIVate Networks,
Welfare Economics,
Monetary Theory And Policy,
Mathematical Economics,
Industrial Economics,
Object Oriented Analysis & Design,
Data Structure And Analysis Of Algorithm,
Data Communication & Networking,
Classical Mechanics,
Rdbms,
Complex Analysis,
Plant And Animal Biotechnology,
Bioprocessess Technology,
Recombinant Dna  Technology,
Evolutionary Biology And Population Genetics,
Development & Environmental Communications,
"Folk , Traditional & Popular Media",
Film Theory And Practice,
Applications Of Information Technology In Media,
New Media & Cyber Technology,
Renewable Energy,
Advanced Refrigeration & Air Conditioning,
Nuclear Power Engineering,
Cryogenic Engineering,
DerIVatIVes And Risk Management,
Employee Relations & Labour Laws,
Product And Brand Management,
Business Intelligence And Big Data,
Financial Modelling And Corporate Valuation,
Hr And Marketing In Hospitals And Healthcare Organizations,
"Managing DIVersity, Equity Inclusion (Dei) And Change",
Managing Digital And Social Media Platforms,
Quality Assurance And Technology In Healthcare,
Application Of Analytics In Business,
Legal Aspects Of Healthcare Administration,
Sales And Operations Planning,
Managing Bank And Financial Institutions,
Personal Financial Planning,
Performance And Compensation Management,
E-Commerce And Digital Markets,
EffectIVe Communication In Health Sector,
Employee Relations&Labour Laws,
Marketing In Hospitals & Healthcare Organizations,
International Finance,
Hr Interventions In Healthcare Services,
Sales & Operations Planning,
Financial Markets & Services,
International Hrm,
Product & Brand Management,
Sourcing Management,
Behavioral Operations Management,
"Mergers, Acquisition & Corporate Restructuring",
Legal Aspect Of Healthcare Administration,
Management Of Information Technology,
Statistics For Business Analytics,
Corporate Strategy,
Project Appraisal & Finance,
B2B Marketing,
Taxation,
Team Dynamics At Work,
Digital & Social Media Marketing,
Hr Metrics And Analytics,
Advanced Bayesian Inference,
Sports And Education Analytics,
Search Engine Marketing,
Website Development,
Search Engine Optimization,
Website Anatytics,
Business Decision Using Advance Excel,
Data Visualization With Tableau And Power Bi,
Data Mining And Advanced Data Handling,
Machine Learning And Unstructured Data Analytics,
"Environmental Biotechnology, Eco-Toxicology And
Bioremediation",
Environmental Legislation & Impact Assessment,
Environmental Economics & Audit,
Wastes & Waste Management,
Design,
Animation,
Data Security And Authentication,
"Marketing For Film , Physical & Digital Platform And Other
Emerging And In No Border Global Audience",
"Film As Cultural Practice, The Global PerspectIVe-IV",
Social & Behavioural PerspectIVe Of Health,
Managing DIVerse Health Services Organisations,
Health & Ecology,
Advanced Epidemiology,
"Health Program, Policy And Planning",
Health Management,
Rmnch+A,
Tourism Entrepreneurship,
Legal And Ethical Issues In Tourism,
Tour Guiding And Interpretation,
Advanced Techinques And Instrumentation Of Ct-II,
Advanced Techinques And Instrumentation Of Mri-II,
"Techniques And Equipments Of Interventional
Radiology And Nuclear Medicine Technology-II",
"Care Of Patient In Diagnostic Radiology And
Management Of Health Care Organization-II",
Marketing For Film,
Film As Cultural Practice - IV,
Entrepreneurship In Food Service,
"Nutrition Communication For Health Promotion And
Its Applications",
Psychotherapy,
Health Psychology,
Inventory & Material Management,
"Ethics, Corporate Governance And Csr",
Managing Change In Organisations,
Event Planning & Coordination,
Entertainment & Recreation Management,
Corporate Image Building,
Ecotourism,
Sustainable & Ethical Studies,
Specialization-Design,
Specialization-Animation,
Security In Cloud Computing,
Social Network Analysis,
Environmental Economics,
Indian Economic Development &Policy,
Computer Applications In Economics,
Environmental Audit,
Network Security,
Data Warehousing & Mining,
Integral Transformation And Integral Equation,
Mathematical Biology,
Dynamical System,
Advanced Animation Techniques,
Principles Of Event Management,
